CHAP 171116/1756 27.05°S 52.60°W
Pres, Altura, Tempe, Orvalho, DireçãoVento,  Velocidade 
918.52, 794.80, 24.77, 17.78, 334.65, 4.00
918.15, 799.01, 24.68, 18.05, 334.66, 4.10
917.54, 804.10, 24.59, 18.01, 334.72, 4.35
916.99, 809.37, 24.71, 17.99, 334.77, 4.67
916.44, 814.69, 24.96, 17.84, 334.80, 5.01
915.88, 820.02, 25.15, 17.56, 334.78, 5.36
915.34, 825.35, 25.28, 17.26, 334.73, 5.72
914.79, 830.77, 25.43, 17.01, 334.63, 6.07
914.20, 836.33, 25.55, 16.89, 334.48, 6.42
913.62, 841.97, 25.63, 16.86, 334.28, 6.77
913.04, 847.61, 25.64, 16.86, 334.02, 7.12
912.44, 853.04, 25.62, 16.85, 333.68, 7.46
911.90, 858.04, 25.61, 16.82, 333.29, 7.80
911.48, 862.61, 25.62, 16.79, 332.84, 8.14
911.04, 867.11, 25.63, 16.77, 332.34, 8.47
910.58, 871.84, 25.61, 16.75, 331.80, 8.81
910.04, 876.71, 25.57, 16.75, 331.21, 9.14
909.48, 881.20, 25.53, 16.76, 330.57, 9.47
909.06, 884.78, 25.49, 16.77, 329.89, 9.79
908.85, 887.56, 25.45, 16.77, 329.17, 10.12
908.78, 890.59, 25.41, 16.76, 328.42, 10.44
908.25, 895.15, 25.37, 16.72, 327.65, 10.75
907.41, 901.06, 25.36, 16.68, 326.86, 11.07
906.78, 907.14, 25.36, 16.63, 326.06, 11.39
906.29, 912.79, 25.40, 16.53, 325.26, 11.70
905.76, 918.20, 25.42, 16.32, 324.46, 12.02
905.23, 923.75, 25.46, 15.98, 323.65, 12.33
904.58, 929.62, 25.56, 15.54, 322.86, 12.63
903.93, 935.54, 25.63, 15.33, 322.07, 12.94
903.37, 941.08, 25.67, 15.24, 321.31, 13.23
902.85, 946.06, 25.70, 15.10, 320.56, 13.52
902.41, 950.54, 25.73, 14.98, 319.83, 13.81
902.02, 954.88, 25.72, 14.96, 319.14, 14.09
901.53, 959.53, 25.69, 14.99, 318.47, 14.36
900.96, 964.64, 25.66, 14.99, 317.83, 14.62
900.43, 970.13, 25.65, 14.93, 317.23, 14.88
899.83, 975.93, 25.65, 14.86, 316.64, 15.12
899.22, 982.00, 25.62, 14.83, 316.09, 15.36
898.57, 988.14, 25.54, 14.81, 315.56, 15.59
898.00, 994.05, 25.48, 14.78, 315.06, 15.81
897.43, 999.44, 25.45, 14.73, 314.58, 16.02
896.86, 1003.87, 25.42, 14.67, 314.14, 16.22
896.59, 1007.06, 25.36, 14.68, 313.71, 16.42
896.46, 1009.58, 25.31, 14.75, 313.29, 16.61
896.14, 1012.48, 25.25, 14.81, 312.90, 16.79
895.73, 1016.34, 25.20, 14.79, 312.53, 16.98
895.23, 1021.30, 25.19, 14.64, 312.19, 17.16
894.61, 1027.16, 25.20, 14.54, 311.86, 17.35
893.92, 1033.45, 25.17, 14.52, 311.55, 17.53
893.32, 1039.67, 25.11, 14.50, 311.25, 17.71
892.70, 1045.64, 25.06, 14.45, 310.96, 17.89
892.14, 1051.39, 25.00, 14.41, 310.69, 18.08
891.58, 1057.17, 24.95, 14.41, 310.45, 18.28
890.96, 1063.21, 24.90, 14.44, 310.23, 18.47
890.34, 1069.42, 24.84, 14.47, 310.02, 18.67
889.69, 1075.58, 24.78, 14.53, 309.82, 18.87
889.02, 1081.30, 24.71, 14.64, 309.63, 19.08
888.56, 1086.29, 24.65, 14.69, 309.46, 19.29
888.22, 1090.88, 24.60, 14.64, 309.31, 19.51
887.69, 1095.75, 24.57, 14.56, 309.19, 19.72
887.09, 1101.05, 24.52, 14.59, 309.07, 19.94
886.53, 1106.53, 24.47, 14.74, 308.96, 20.15
886.01, 1112.07, 24.43, 14.97, 308.87, 20.36
885.43, 1117.71, 24.40, 15.14, 308.79, 20.58
884.85, 1123.45, 24.36, 15.18, 308.72, 20.78
884.27, 1129.25, 24.31, 15.18, 308.66, 20.99
883.65, 1135.09, 24.26, 15.26, 308.61, 21.18
883.08, 1140.98, 24.22, 15.41, 308.56, 21.37
882.51, 1147.10, 24.17, 15.63, 308.52, 21.56
881.83, 1153.58, 24.13, 15.93, 308.49, 21.74
881.16, 1160.17, 24.09, 16.04, 308.46, 21.90
880.47, 1166.50, 24.03, 15.96, 308.42, 22.06
879.88, 1172.26, 23.98, 15.92, 308.39, 22.21
879.42, 1177.51, 23.93, 15.94, 308.36, 22.34
878.96, 1182.71, 23.88, 15.93, 308.32, 22.46
878.37, 1188.30, 23.82, 15.95, 308.28, 22.58
877.69, 1194.13, 23.77, 16.01, 308.23, 22.68
877.14, 1199.79, 23.71, 16.08, 308.17, 22.78
876.66, 1205.21, 23.66, 16.20, 308.10, 22.86
876.10, 1210.62, 23.60, 16.32, 308.01, 22.94
875.57, 1216.11, 23.55, 16.37, 307.91, 23.00
874.98, 1221.71, 23.49, 16.43, 307.81, 23.06
874.40, 1227.32, 23.43, 16.50, 307.69, 23.12
873.87, 1232.83, 23.37, 16.55, 307.57, 23.16
873.33, 1238.33, 23.32, 16.58, 307.44, 23.20
872.78, 1244.01, 23.26, 16.61, 307.30, 23.23
872.18, 1249.97, 23.20, 16.60, 307.15, 23.26
871.55, 1256.10, 23.14, 16.58, 306.99, 23.28
870.93, 1262.17, 23.08, 16.56, 306.82, 23.30
870.35, 1267.99, 23.03, 16.52, 306.65, 23.32
869.82, 1273.53, 22.97, 16.50, 306.47, 23.34
869.29, 1278.90, 22.92, 16.50, 306.30, 23.35
868.75, 1284.20, 22.86, 16.50, 306.13, 23.36
868.23, 1289.51, 22.81, 16.46, 305.96, 23.38
867.69, 1294.85, 22.75, 16.43, 305.80, 23.39
867.18, 1300.28, 22.69, 16.41, 305.63, 23.40
866.59, 1305.86, 22.64, 16.41, 305.48, 23.41
866.03, 1311.52, 22.58, 16.42, 305.33, 23.43
865.50, 1317.26, 22.53, 16.41, 305.20, 23.44
864.88, 1323.15, 22.47, 16.42, 305.09, 23.45
864.29, 1329.06, 22.42, 16.45, 304.99, 23.47
